"num","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","mass.end","end.class"
157,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.09,"2/3/20",226.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",4,0,875.58,"2/12/20",29,19,10,18,14,47,NA,1,"was left out at room temperature for 24 hours 1 day after wasp emergence","1 immature 2nd counted in num unem. some 2nd instars look stuck in their cuticle. 1 distinct mel plaque found",26,0,29,29,34,NA,NA,NA,NA,0,0,39,43,0,NA,3,8,NA,NA,13,NA,10,14,0.617021276595745,0.297872340425532,13,875.58,"em"
160,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",44.03,"2/2/20",185.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",4,0,1153.19,"2/11/20",57,54,3,16,53,73,NA,NA,NA,"4 immature 2nd instars, counted in num unem.",26,0,29,29,33,NA,NA,NA,NA,0,0,38,42,0,NA,3,7,NA,NA,12,NA,9,13,0.780821917808219,0.726027397260274,12,1153.19,"em"
161,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",47.48,"1/31/20",184.93,"2/4/20",2376.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",14482.4,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,35,NA,NA,NA,0,38,0,NA,0,0,3,5,9,12,NA,NA,NA,NA,0,0,12,14482.4,"wand"
162,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",43.49,"2/1/20",166.45,"2/8/20",1314.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/15/20",8198.23,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th. cuticle removed from 4th-6th prolegs 4 days after molt to 5th 2/11/20",NA,26,0,NA,29,32,39,NA,NA,NA,0,46,0,NA,0,0,3,6,13,20,NA,NA,NA,NA,0,0,20,8198.23,"wand"
163,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.1,"2/2/20",130.44,"2/6/20",974.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/10/20",5,0,2726.57,"2/14/20",106,75,31,16,61,122,NA,NA,NA,"2 immature 2nds, counted in num unem. some 2nd instars look stuck in cuticle",26,0,29,29,33,37,NA,NA,NA,0,0,41,45,0,0,3,7,11,NA,15,NA,12,16,0.868852459016393,0.5,15,2726.57,"em"
164,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",45.26,"2/1/20",367.93,"2/5/20",1061.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/11/20",9142.86,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,32,36,NA,NA,NA,0,42,0,NA,0,0,3,6,10,16,NA,NA,NA,NA,0,0,16,9142.86,"wand"
165,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",35.62,"2/1/20",361.64,"2/4/20",1138.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",8050.5,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,35,NA,NA,NA,0,40,0,NA,0,0,3,6,9,14,NA,NA,NA,NA,0,0,14,8050.5,"wand"
166,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",40.61,"2/2/20",180.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",4,1,919.93,"2/11/20",26,22,4,12,16,38,NA,NA,"ovp and put in chamber around 12pm","1 immature 2nd counted in num unem",26,0,29,29,33,NA,NA,NA,NA,0,0,38,42,0,NA,3,7,NA,NA,12,NA,9,13,0.684210526315789,0.421052631578947,12,919.93,"em"
167,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.12,"2/4/20",353.07,"2/7/20",918.62,"2/14/20",4721.27,"2/21/20",15107.31,"2/28/20",18904.43,"2/28/20",18904.43,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). molted to 6th on date_p5.1. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,35,38,45,52,59,59,0,0,NA,0,0,3,9,12,NA,NA,33,NA,NA,0,0,33,18904.43,"cull"
168,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",34.82,"2/1/20",371.58,"2/4/20",2964.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",12457.5,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,32,35,NA,NA,NA,0,38,0,NA,0,0,3,6,9,12,NA,NA,NA,NA,0,0,12,12457.5,"wand"
169,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",44.44,"2/1/20",203.86,"2/5/20",1462.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/10/20",6340.18,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,36,NA,NA,NA,0,41,0,NA,0,0,3,6,10,15,NA,NA,NA,NA,0,0,15,6340.18,"wand"
170,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.19,"2/1/20",456.8,"2/4/20",2979.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",9632.12,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm",NA,26,0,29,29,32,35,NA,NA,NA,0,38,0,NA,0,0,3,6,9,12,NA,NA,NA,NA,0,0,12,9632.12,"wand"
171,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",39.59,"2/1/20",110.02,"2/5/20",428.36,"2/12/20",1809.51,"2/19/20",7342.94,"2/26/20",9560.21,"2/26/20",9560.21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pmdid not shed fully at molt to 5th, removed cuticle from all prolegs. molted to 6th 2/12/20. Mass: 1809.51. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,3,6,10,NA,NA,31,NA,NA,0,0,31,9560.21,"cull"
172,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",54.37,"1/31/20",213.87,"2/4/20",3439.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",12411.5,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,35,NA,NA,NA,0,38,0,NA,0,0,3,5,9,12,NA,NA,NA,NA,0,0,12,12411.5,"wand"
173,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",45.57,"2/1/20",178.66,"2/6/20",1448.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/12/20",8548.58,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,37,NA,NA,NA,0,43,0,NA,0,0,3,6,11,17,NA,NA,NA,NA,0,0,17,8548.58,"wand"
174,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.86,"2/2/20",225.06,"2/6/20",2444.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",5,0,3895.35,"2/14/20",71,46,25,33,35,104,NA,1,"ovp and put in chamber around 12pm. was left out at room temperature for 24 hours immediately after wasp emergence","3 immature 2nds, counted in num unem. some 2nd instars looked stuck in their cuticle",26,0,29,29,33,37,NA,NA,NA,0,0,40,45,0,0,3,7,11,NA,14,NA,11,16,0.682692307692308,0.336538461538462,14,3895.35,"em"
175,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.06,"2/2/20",216.34,"2/6/20",1309.16,"2/13/20",8968.37,"2/20/20",7211.92,NA,NA,NA,NA,NA,"2/20/20",7211.92,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered on date p5.2. put in pupae box to see if it pupates. failed to pupate properly, larval pupal intermediate",NA,26,0,29,29,33,37,44,51,NA,0,51,0,NA,0,0,3,7,11,25,NA,NA,NA,NA,0,0,25,7211.92,"wand"
176,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",44.26,"1/31/20",177.1,"2/4/20",4243.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",12985.8,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,35,NA,NA,NA,0,38,0,NA,0,0,3,5,9,12,NA,NA,NA,NA,0,0,12,12985.8,"wand"
177,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",35.51,"2/1/20",236.18,"2/5/20",989.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/11/20",7549.71,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,36,NA,NA,NA,0,42,0,NA,0,0,3,6,10,16,NA,NA,NA,NA,0,0,16,7549.71,"wand"
178,"para",30,"0","1/26/20",NA,"1/29/20",2,NA,"1/29/20",48.69,"2/3/20",219.63,"2/6/20",804.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",5,0,1565.84,"2/14/20",45,36,9,7,31,52,NA,1,"ovp and put in chamber around 12pm. was left out at room temperature for 24 hours immediately after wasp emergence","no immature 2nds",26,0,29,29,34,37,NA,NA,NA,0,0,40,45,0,0,3,8,11,NA,14,NA,11,16,0.865384615384615,0.596153846153846,14,1565.84,"em"
179,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",42.23,"2/1/20",163.3,"2/5/20",832.76,"2/12/20",3371.42,"2/19/20",2991.32,NA,NA,"2/20/20",2787.28,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm. close to death on 2/20/20, culled early. frozen for dissection",NA,26,0,29,29,32,36,43,50,NA,51,0,0,NA,0,0,3,6,10,NA,NA,25,NA,NA,0,0,25,2787.28,"cull"
180,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",43.31,"2/2/20",280.64,"2/7/20",2046.94,"2/14/20",12957.27,"2/21/20",9982.47,NA,NA,NA,NA,NA,"2/22/20",9656.83,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/22/20. massed and frozen for testing. looked like some anal prolapse happening",NA,26,0,29,29,33,38,45,52,NA,0,53,0,NA,0,0,3,7,12,27,NA,NA,NA,NA,0,0,27,9656.83,"wand"
181,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",40.37,"1/31/20",158.86,"2/4/20",4461.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",12873.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,35,NA,NA,NA,0,38,0,NA,0,0,3,5,9,12,NA,NA,NA,NA,0,0,12,12873.6,"wand"
182,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",43.14,"2/1/20",187.24,"2/5/20",1170.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/10/20",6406.41,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,36,NA,NA,NA,0,41,0,NA,0,0,3,6,10,15,NA,NA,NA,NA,0,0,15,6406.41,"wand"
183,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",42.58,"2/1/20",761.8,"2/4/20",3838.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",12956.7,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,32,35,NA,NA,NA,0,38,0,NA,0,0,3,6,9,12,NA,NA,NA,NA,0,0,12,12956.7,"wand"
184,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",52.63,"2/1/20",162.57,"2/6/20",1189.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/14/20",5655.54,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,37,NA,NA,NA,0,45,0,NA,0,0,3,6,11,19,NA,NA,NA,NA,0,0,19,5655.54,"wand"
187,"para",30,"0","1/26/20",NA,"1/29/20",2,NA,"1/29/20",43.04,"2/3/20",247.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",4,1,552.96,"2/11/20",39,35,4,14,28,53,NA,NA,"ovp and put in chamber around 12pm","3 immature 2nds counted in num unem",26,0,29,29,34,NA,NA,NA,NA,0,0,38,42,0,NA,3,8,NA,NA,12,NA,9,13,0.735849056603774,0.528301886792453,12,552.96,"em"
188,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.21,"2/2/20",112.87,"2/8/20",1222.3,"2/15/20",8340.89,"2/22/20",9214.97,NA,NA,NA,NA,NA,"2/28/20",7046.84,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/28/20. put in pupae box to see if it pupates",NA,26,0,29,29,33,39,46,53,NA,0,59,0,NA,0,0,3,7,13,33,NA,NA,NA,NA,0,0,33,7046.84,"wand"
189,"para",30,"0","1/26/20",NA,"1/29/20",3,NA,"1/29/20",41.93,"2/1/20",354.6,"2/4/20",1612.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",5,0,4212.39,"2/13/20",126,115,11,142,95,268,NA,1,"ovp and put in chamber around 12pm. was left out at room temperature for 24 hours 1 day after wasp emergence","46 immature 2nds counted in num unem. some 2nd instars look stuck in their cuticle",26,0,29,29,32,35,NA,NA,NA,0,0,39,44,0,0,3,6,9,NA,13,NA,10,15,0.470149253731343,0.354477611940299,13,4212.39,"em"
