"num","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","mass.end","end.class"
123,"para",30,"0","1/25/20",NA,"1/29/20",1,NA,"1/29/20",62.92,"2/1/20",326.67,"2/4/20",1918.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",5,0,3870.92,"2/12/20",100,59,41,33,33,133,NA,1,"was left out at room temperature for 24 hours 1 day after wasp emergence","1 immature 2nd counted in num unem. some 2nd instars look stuck in their cuticle",25,0,29,29,32,35,NA,NA,NA,0,0,39,43,0,0,4,7,10,NA,14,NA,10,14,0.75187969924812,0.24812030075188,14,3870.92,"em"
124,"para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",53.55,"2/2/20",197.38,"2/7/20",1468.38,"2/14/20",8737.58,NA,NA,NA,NA,NA,NA,NA,"2/19/20",8701.61,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). wandered 2/19/20. Put in pupe box to see if it pupates. pupated 2/24/20, but did not pupate well and did not fully shed larval cuticle (not really larval pupal intermediate). Took pictures. Kept to see if it ecloses",NA,25,0,29,29,33,38,45,NA,NA,0,50,0,NA,0,0,4,8,13,25,NA,NA,NA,NA,0,0,25,8701.61,"wand"
125,"control",30,"0","1/25/20",NA,NA,NA,NA,"1/29/20",37.59,"2/1/20",183.54,"2/5/20",2184.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",10378.19,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,NA,29,32,36,NA,NA,NA,0,39,0,NA,0,0,4,7,11,14,NA,NA,NA,NA,0,0,14,10378.19,"wand"
126,"control",30,"10","1/25/20",NA,NA,NA,NA,"1/29/20",65.33,"1/31/20",228.65,"2/4/20",1617.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",7620.37,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,25,0,NA,29,31,35,NA,NA,NA,0,40,0,NA,0,0,4,6,10,15,NA,NA,NA,NA,0,0,15,7620.37,"wand"
127,"para",30,"0","1/25/20",NA,"1/29/20",1,NA,"1/29/20",71.42,"2/1/20",156.02,"2/5/20",1734.54,"2/12/20",11434.56,"2/19/20",11880.13,"2/26/20",10598.25,"2/26/20",10598.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,4,7,11,NA,NA,32,NA,NA,0,0,32,10598.25,"cull"
128,"para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",50.52,"2/2/20",255.03,"2/6/20",1155.49,"2/13/20",9158.74,"2/20/20",10608.32,NA,NA,NA,NA,NA,"2/26/20",9311.78,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered 2/26/20, frozen for Katherine to test",NA,25,0,29,29,33,37,44,51,NA,0,57,0,NA,0,0,4,8,12,32,NA,NA,NA,NA,0,0,32,9311.78,"wand"
129,"control",30,"0","1/25/20",NA,NA,NA,NA,"1/29/20",30.3,"2/1/20",191.63,"2/5/20",3263.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",10043.87,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,NA,29,32,36,NA,NA,NA,0,39,0,NA,0,0,4,7,11,14,NA,NA,NA,NA,0,0,14,10043.87,"wand"
130,"control",30,"10","1/25/20",NA,NA,NA,NA,"1/29/20",68.23,"1/31/20",204.54,"2/4/20",1811.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/14/20",5625.1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,25,0,NA,29,31,35,NA,NA,NA,0,45,0,NA,0,0,4,6,10,20,NA,NA,NA,NA,0,0,20,5625.1,"wand"
131,"para",30,"0","1/25/20",NA,"1/29/20",1,NA,"1/29/20",35.39,"2/2/20",186.66,"2/6/20",1996.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",5,0,3649.91,"2/14/20",94,76,18,60,53,154,NA,1,"was left out at room temperature for 24 hours immediately after wasp emergence","3 immature 2nds counted in num unem. some 2nds looked stuck in their cuticle",25,0,29,29,33,37,NA,NA,NA,0,0,40,45,0,0,4,8,12,NA,15,NA,11,16,0.61038961038961,0.344155844155844,15,3649.91,"em"
132,"para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",34.56,"2/2/20",94.87,"2/6/20",647.97,"2/13/20",5091.14,"2/20/20",14848.53,"2/27/20",15803.33,"2/27/20",15803.33,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. molted to 6th 2/12/20. Mass: 3100.97. did not shed fully at molt to 6th. removed cuticle from 4th-6th prolegs after molt to 6th",NA,25,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,4,8,12,NA,NA,33,NA,NA,0,0,33,15803.33,"cull"
133,"control",30,"0","1/25/20",NA,NA,NA,NA,"1/29/20",30.61,"2/1/20",109.98,"2/5/20",1397.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",8247.77,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,NA,29,32,36,NA,NA,NA,0,40,0,NA,0,0,4,7,11,15,NA,NA,NA,NA,0,0,15,8247.77,"wand"
134,"control",30,"10","1/25/20",NA,NA,NA,NA,"1/29/20",68.85,"1/31/20",231.08,"2/4/20",1460.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",7811.3,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,25,0,NA,29,31,35,NA,NA,NA,0,40,0,NA,0,0,4,6,10,15,NA,NA,NA,NA,0,0,15,7811.3,"wand"
135,"para",30,"0","1/25/20",NA,"1/29/20",1,NA,"1/29/20",58.38,"2/2/20",207.01,"2/16/20",583.89,NA,NA,NA,NA,NA,NA,"2/21/20",695.85,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,29,29,33,47,NA,NA,NA,52,0,0,NA,0,0,4,8,22,NA,NA,27,NA,NA,0,0,27,695.85,"cull"
136,"para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",66.07,"2/1/20",167.21,"2/5/20",1026.58,"2/12/20",4279.83,NA,NA,NA,NA,"2/15/20",4011.74,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs. close to death 2/15/20 so culled early",NA,25,0,29,29,32,36,43,NA,NA,46,0,0,NA,0,0,4,7,11,NA,NA,21,NA,NA,0,0,21,4011.74,"cull"
137,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",47.1,"1/31/20",193.69,"2/3/20",2944.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/5/20",8943.84,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,34,NA,NA,NA,0,36,0,NA,0,0,3,5,8,10,NA,NA,NA,NA,0,0,10,8943.84,"wand"
138,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",47.34,"2/1/20",136.8,"2/7/20",1066.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/16/20",6481.8,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th. cuticle removed from 4th-6th prolegs 4 days after molt to 5th 2/11/20",NA,26,0,NA,29,32,38,NA,NA,NA,0,47,0,NA,0,0,3,6,12,21,NA,NA,NA,NA,0,0,21,6481.8,"wand"
139,"para",30,"0","1/26/20",NA,"1/29/20",2,NA,"1/29/20",44.68,"2/1/20",123.04,"2/5/20",1156.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",5,0,2831.43,"2/13/20",71,56,15,71,50,142,NA,1,"was left out at room temperature for 24 hours immediately after wasp emergence","12 immature 2nd instars counted in num unem. at least 2-3 1st instars found. some 2nd instars look stuck in their cuticle",26,0,29,29,32,36,NA,NA,NA,0,0,40,44,0,0,3,6,10,NA,14,NA,11,15,0.5,0.352112676056338,14,2831.43,"em"
140,"para",30,"10","1/26/20",NA,"1/29/20",2,NA,"1/29/20",52.73,"2/2/20",170.33,"2/6/20",1016.5,"2/13/20",5985.67,"2/20/20",7963.78,"2/27/20",8201.68,"2/27/20",8201.68,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs",NA,26,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,3,7,11,NA,NA,32,NA,NA,0,0,32,8201.68,"cull"
141,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",54.56,"2/1/20",367.32,"2/4/20",1758.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",12684.45,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,32,35,NA,NA,NA,0,39,0,NA,0,0,3,6,9,13,NA,NA,NA,NA,0,0,13,12684.45,"wand"
142,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",43.88,"2/1/20",104.87,"2/5/20",454.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/17/20",6580.15,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. molted to 6th 2/10/20. Mass: 1500.85. removed cuticle from all prolegs at molt to 6th",NA,26,0,NA,29,32,36,NA,NA,NA,0,48,0,NA,0,0,3,6,10,22,NA,NA,NA,NA,0,0,22,6580.15,"wand"
143,"para",30,"0","1/26/20",NA,"1/29/20",3,NA,"1/29/20",50.23,"2/2/20",157.22,"2/6/20",1978.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/10/20",5,0,3886.85,"2/14/20",101,68,33,103,45,204,NA,NA,NA,"12 immature 2nds counted in num unem. some 2d instars look stuck in their cuticle",26,0,29,29,33,37,NA,NA,NA,0,0,41,45,0,0,3,7,11,NA,15,NA,12,16,0.495098039215686,0.220588235294118,15,3886.85,"em"
