"num","p5.meas","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","date.p5.2","date.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","end.class","early_cull","ttp5.1","ttp5.2","ttp5.3","mass","age"
136,"p5.2","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",66.07,"2/1/20",167.21,"2/5/20",1026.58,"2/12/20",NA,NA,"2/15/20",4011.74,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs. close to death 2/15/20 so culled early",NA,25,0,29,29,32,36,43,NA,NA,46,0,0,NA,0,0,4,7,11,NA,NA,21,NA,NA,0,0,21,"cull",1,18,NA,NA,NA,NA
136,"p5.3","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",66.07,"2/1/20",167.21,"2/5/20",1026.58,"2/12/20",NA,NA,"2/15/20",4011.74,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs. close to death 2/15/20 so culled early",NA,25,0,29,29,32,36,43,NA,NA,46,0,0,NA,0,0,4,7,11,NA,NA,21,NA,NA,0,0,21,"cull",1,18,NA,NA,NA,NA
140,"end","para",30,"10","1/26/20",NA,"1/29/20",2,NA,"1/29/20",52.73,"2/2/20",170.33,"2/6/20",1016.5,"2/13/20","2/20/20","2/27/20","2/27/20",8201.68,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs",NA,26,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,3,7,11,NA,NA,32,NA,NA,0,0,32,"cull",0,18,25,32,8201.68,32
140,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",2,NA,"1/29/20",52.73,"2/2/20",170.33,"2/6/20",1016.5,"2/13/20","2/20/20","2/27/20","2/27/20",8201.68,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs",NA,26,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,3,7,11,NA,NA,32,NA,NA,0,0,32,"cull",0,18,25,32,5985.67,18
140,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",2,NA,"1/29/20",52.73,"2/2/20",170.33,"2/6/20",1016.5,"2/13/20","2/20/20","2/27/20","2/27/20",8201.68,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs",NA,26,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,3,7,11,NA,NA,32,NA,NA,0,0,32,"cull",0,18,25,32,7963.78,25
140,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",2,NA,"1/29/20",52.73,"2/2/20",170.33,"2/6/20",1016.5,"2/13/20","2/20/20","2/27/20","2/27/20",8201.68,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs",NA,26,0,29,29,33,37,44,51,58,58,0,0,NA,0,0,3,7,11,NA,NA,32,NA,NA,0,0,32,"cull",0,18,25,32,8201.68,32
156,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",52.17,"2/2/20",232.91,"2/10/20",1016.27,"2/17/20",NA,NA,"2/17/20",1102.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not molt well to 5th, bled. removed cuticle from 4th-6th prolegs at molt to 5th. close to death on p5.1, so culled. frozen for dissection",NA,26,0,29,29,33,41,48,NA,NA,48,0,0,NA,0,0,3,7,15,NA,NA,22,NA,NA,0,0,22,"cull",0,22,NA,NA,1102.21,22
156,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",52.17,"2/2/20",232.91,"2/10/20",1016.27,"2/17/20",NA,NA,"2/17/20",1102.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not molt well to 5th, bled. removed cuticle from 4th-6th prolegs at molt to 5th. close to death on p5.1, so culled. frozen for dissection",NA,26,0,29,29,33,41,48,NA,NA,48,0,0,NA,0,0,3,7,15,NA,NA,22,NA,NA,0,0,22,"cull",0,22,NA,NA,1102.21,22
156,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",52.17,"2/2/20",232.91,"2/10/20",1016.27,"2/17/20",NA,NA,"2/17/20",1102.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not molt well to 5th, bled. removed cuticle from 4th-6th prolegs at molt to 5th. close to death on p5.1, so culled. frozen for dissection",NA,26,0,29,29,33,41,48,NA,NA,48,0,0,NA,0,0,3,7,15,NA,NA,22,NA,NA,0,0,22,"cull",0,22,NA,NA,NA,NA
156,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",52.17,"2/2/20",232.91,"2/10/20",1016.27,"2/17/20",NA,NA,"2/17/20",1102.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not molt well to 5th, bled. removed cuticle from 4th-6th prolegs at molt to 5th. close to death on p5.1, so culled. frozen for dissection",NA,26,0,29,29,33,41,48,NA,NA,48,0,0,NA,0,0,3,7,15,NA,NA,22,NA,NA,0,0,22,"cull",0,22,NA,NA,NA,NA
