"bug.id","temp.avg","temp.var","treatment","instar","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep","keep2","mass","age"
"103",30,0,"para","end",NA,1825.64,1,NA,5,0,67,65,2,57,69,136,24,0,28,31,35,0,28,39,44,16,11,0.492647058823529,0.419117647058824,4,7,11,NA,15,"col",15,0,0,0,NA,1,NA,0,"em","repl",1,1,1825.64,15
"104",30,10,"para","3",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,32,36,0,28,0,NA,NA,NA,0,0,4,8,12,NA,NA,"col",23,0,0,47,5029.28,NA,23,1,"cull","repl",1,1,62.98,4
"104",30,10,"para","4",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,32,36,0,28,0,NA,NA,NA,0,0,4,8,12,NA,NA,"col",23,0,0,47,5029.28,NA,23,1,"cull","repl",1,1,388.82,8
"104",30,10,"para","5",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,32,36,0,28,0,NA,NA,NA,0,0,4,8,12,NA,NA,"col",23,0,0,47,5029.28,NA,23,1,"cull","repl",1,1,1739.22,12
"104",30,10,"para","end",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,32,36,0,28,0,NA,NA,NA,0,0,4,8,12,NA,NA,"col",23,0,0,47,5029.28,NA,23,1,"cull","repl",1,1,5029.28,23
"105",30,0,"control","3",9581.33,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,68.19,4
"105",30,0,"control","4",9581.33,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,220.28,6
"105",30,0,"control","5",9581.33,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,3616.65,10
"105",30,0,"control","end",9581.33,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,9581.33,13
"106",30,10,"control","3",8617.27,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,43,NA,0,NA,NA,NA,0,0,4,7,11,18,NA,"col",18,0,0,0,NA,NA,NA,0,"wand","repl",1,1,44.34,4
